2022-11-28 12:34:12, Camera 1, Tomato, 1065, 438, 104.03624346792648
2022-11-28 12:49:12, Camera 1, Tomato, 1617, 764, 84.28940686250037
2022-11-28 12:49:12, Camera 1, Tomato, 1731, 767, 82.14668669802178
2022-11-28 12:49:12, Camera 1, Tomato, 1889, 757, 80.90972307917768
2022-11-28 12:49:13, Camera 1, Tomato, 1528, 769, 81.46923439005187
2022-11-28 12:49:13, Camera 1, Tomato, 1406, 775, 83.418055344822
2022-11-28 12:49:14, Camera 1, Tomato, 1760, 758, 87.61405596961119
2022-11-28 12:49:15, Camera 1, Tomato, 1686, 765, 80.53767779197439
2022-11-28 12:49:15, Camera 1, Tomato, 1870, 762, 84.8055710922652
2022-11-28 12:49:16, Camera 1, Tomato, 1874, 777, 77.0053832080835
2022-11-28 12:49:20, Camera 1, Tomato, 1651, 776, 81.86989764584403
2022-11-28 12:49:20, Camera 1, Tomato, 1667, 758, 77.47119229084849
2022-11-28 12:49:25, Camera 1, Tomato, 333, 768, 93.3664606634298
2022-11-28 12:49:25, Camera 1, Tomato, 1765, 827, 121.44871527305364
2022-11-28 12:49:28, Camera 1, Tomato, 327, 764, 102.52880770915151
2022-11-28 12:49:30, Camera 1, Tomato, 1640, 768, 75.06858282186245
2022-11-28 12:49:31, Camera 1, Tomato, 1559, 764, 87.39743779750019
2022-11-28 12:49:34, Camera 1, Tomato, 1548, 645, -132.1844433157888
2022-11-28 12:49:35, Camera 1, Tomato, 1670, 764, 76.50426671920418
2022-11-28 12:49:36, Camera 1, Tomato, 1582, 767, 84.8055710922652
2022-11-28 12:49:37, Camera 1, Tomato, 1568, 763, 87.39743779750019
2022-11-28 12:49:38, Camera 1, Tomato, 1712, 768, 50.988148375775516
2022-11-28 12:49:39, Camera 1, Tomato, 1727, 761, 82.23483398157467
2022-11-28 12:49:39, Camera 1, Tomato, 1711, 797, 82.23483398157467
2022-11-28 12:49:40, Camera 1, Tomato, 406, 757, 101.30993247402021
2022-11-28 12:49:41, Camera 1, Tomato, 1890, 764, 84.8055710922652
2022-11-28 12:49:42, Camera 1, Tomato, 1864, 774, 90.0
2022-11-28 12:49:43, Camera 1, Tomato, 1897, 861, 91.82243268763288
2022-11-28 12:49:45, Camera 1, Tomato, 1715, 758, 79.2157021324374
2022-11-28 12:49:46, Camera 1, Tomato, 1723, 756, 82.5685920288275
2022-11-28 12:49:47, Camera 1, Tomato, 1762, 759, 80.13419305691563
2022-11-28 12:49:48, Camera 1, Tomato, 1522, 756, 83.99099404250548
2022-11-28 12:49:49, Camera 1, Tomato, 376, 776, 87.51044707800085
2022-11-28 12:49:57, Camera 1, Tomato, 1788, 767, 85.23635830927383
2022-11-28 12:49:58, Camera 1, Tomato, 1567, 771, 83.99099404250548
2022-11-28 12:50:01, Camera 1, Tomato, 1615, 757, 83.99099404250548
2022-11-28 12:50:01, Camera 1, Tomato, 1543, 759, 84.28940686250037
2022-11-28 12:50:02, Camera 1, Tomato, 1846, 766, 116.56505117707799
2022-11-28 12:50:03, Camera 1, Tomato, 1857, 815, 73.30075576600639
2022-11-28 12:50:08, Camera 1, Tomato, 1289, 756, 85.0302592718897
2022-11-28 12:50:12, Camera 1, Tomato, 1821, 771, 67.16634582208245
